timeSec,x,y
0.00,308,646
0.03,308,646
0.07,306,647
0.10,306,647
0.13,306,647
0.17,305,648
0.20,304,648
0.23,302,649
0.27,303,649
0.30,302,649
0.33,300,650
0.37,299,650
0.40,298,651
0.43,298,651
0.47,297,651
0.50,296,651
0.53,296,651
0.57,295,652
0.60,295,652
0.63,295,652
0.67,295,652
0.70,294,652
0.73,294,652
0.77,294,652
0.80,293,653
0.83,293,653
0.87,293,653
0.90,292,653
0.93,292,653
0.97,292,653
1.00,291,654
1.03,291,653
1.07,290,653
1.10,291,653
1.13,290,653
1.17,289,653
1.20,288,653
1.23,287,654
1.27,287,654
1.30,287,654
1.33,285,654
1.37,284,655
1.40,284,654
1.43,284,654
1.47,283,654
1.50,283,654
1.53,283,654
1.57,282,654
1.60,282,654
1.63,281,654
1.67,281,655
1.70,281,654
1.73,280,654
1.77,280,654
1.80,279,655
1.83,278,655
1.87,277,654
1.90,276,654
1.93,276,653
1.97,275,653
2.00,274,654
2.03,274,654
2.07,273,654
2.10,273,654
2.13,273,654
2.17,272,654
2.20,272,653
2.23,273,653
2.27,273,653
2.30,273,653
2.33,272,654
2.37,272,654
2.40,271,655
2.43,271,655
2.47,271,655
2.50,271,655
2.53,270,655
2.57,269,655
2.60,269,655
2.63,269,655
2.67,269,656
2.70,269,656
2.73,269,656
2.77,269,656
2.80,269,656
2.83,269,657
2.87,268,659
2.90,266,660
2.93,266,660
2.97,266,660
3.00,265,659
3.03,265,659
3.07,265,659
3.10,265,659
3.13,264,659
3.17,265,659
3.20,265,659
3.23,265,659
3.27,265,659
3.30,265,659
3.33,264,660
3.37,264,660
3.40,264,660
3.43,264,660
3.47,263,661
3.50,262,661
3.53,262,662
3.57,262,662
3.60,262,662
3.63,261,662
3.67,260,662
3.70,260,662
3.73,259,664
3.77,259,664
3.80,258,664
3.83,258,665
3.87,257,665
3.90,256,666
3.93,256,666
3.97,255,667
4.00,254,667
4.03,254,667
4.07,252,668
4.10,252,668
4.13,251,669
4.17,250,670
4.20,250,670
4.23,249,670
4.27,249,670
4.30,248,670
4.33,248,671
4.37,248,671
4.40,246,672
4.43,246,672
4.47,246,672
4.50,245,673
4.53,244,673
4.57,243,674
4.60,243,674
4.63,242,675
4.67,240,676
4.70,239,676
4.73,238,677
4.77,238,677
4.80,236,678
4.83,235,679
4.87,233,680
