timeSec,x,y
0.00,679,632
0.03,678,634
0.07,678,635
0.10,677,638
0.13,676,641
0.17,677,644
0.20,675,648
0.23,675,648
0.27,677,648
0.30,677,652
0.33,676,653
0.37,678,656
0.40,678,656
0.43,676,656
0.47,678,658
0.50,676,658
0.53,677,659
0.57,677,658
0.60,675,658
0.63,676,658
0.67,674,657
0.70,675,657
0.73,675,657
0.77,674,657
0.80,674,657
0.83,672,657
0.87,672,657
0.90,672,657
0.93,670,657
0.97,669,658
1.00,667,658
1.03,666,659
1.07,666,659
1.10,665,659
1.13,664,659
1.17,663,659
1.20,662,660
1.23,662,660
1.27,661,660
1.30,661,660
1.33,660,660
1.37,658,661
1.40,658,661
1.43,657,661
1.47,656,662
1.50,655,662
1.53,654,662
1.57,654,662
1.60,653,662
1.63,652,662
1.67,651,663
1.70,650,663
1.73,650,663
1.77,648,663
1.80,647,664
1.83,647,664
1.87,646,664
1.90,646,664
1.93,645,664
1.97,645,665
2.00,645,665
2.03,644,665
2.07,644,665
2.10,644,666
2.13,644,666
2.17,643,666
2.20,642,667
2.23,642,667
2.27,640,668
2.30,640,668
2.33,639,668
2.37,638,669
2.40,638,669
2.43,637,669
2.47,636,670
2.50,634,671
2.53,634,671
2.57,634,671
2.60,633,671
2.63,632,671
2.67,631,671
2.70,630,672
2.73,630,672
2.77,630,672
2.80,629,672
2.83,629,672
2.87,628,673
2.90,628,673
2.93,627,673
2.97,627,673
3.00,628,673
3.03,627,673
3.07,627,673
3.10,627,673
3.13,626,674
3.17,625,674
3.20,625,674
3.23,625,674
3.27,624,674
3.30,623,674
3.33,622,675
3.37,622,675
3.40,622,675
3.43,621,675
3.47,620,675
3.50,619,675
3.53,618,675
3.57,618,675
3.60,618,675
3.63,618,675
3.67,618,675
3.70,617,675
3.73,617,675
3.77,617,675
3.80,616,676
3.83,616,676
3.87,615,676
3.90,615,676
3.93,614,676
3.97,613,676
4.00,612,675
4.03,611,675
4.07,611,675
4.10,610,674
4.13,610,675
4.17,609,675
4.20,609,675
4.23,609,675
4.27,609,675
4.30,609,674
4.33,612,674
4.37,612,673
4.40,612,673
4.43,611,674
4.47,610,674
4.50,609,675
4.53,609,675
4.57,609,675
4.60,607,676
4.63,607,676
4.67,607,676
4.70,606,676
4.73,606,676
4.77,606,676
4.80,606,677
4.83,606,677
4.87,606,677
4.90,606,677
4.93,606,678
4.97,606,678
5.00,606,679
5.03,605,680
5.07,605,680
5.10,605,681
5.13,605,680
5.17,605,679
5.20,605,679
5.23,605,679
5.27,602,679
5.30,602,679
5.33,602,679
5.37,602,679
5.40,602,679
5.43,602,679
5.47,602,680
5.50,601,680
5.53,601,681
5.57,601,681
5.60,600,681
5.63,600,681
5.67,599,682
5.70,599,682
5.73,599,682
5.77,598,682
5.80,597,683
5.83,597,683
5.87,597,684
5.90,597,684
5.93,596,684
5.97,595,685
6.00,594,686
6.03,593,686
6.07,593,686
6.10,593,687
6.13,592,687
6.17,591,687
6.20,590,689
6.23,590,689
6.27,589,689
6.30,588,689
6.33,587,690
6.37,587,690
6.40,587,690
6.43,586,691
6.47,586,691
6.50,585,691
6.53,585,692
6.57,585,692
6.60,584,692
6.63,583,693
6.67,582,694
6.70,581,694
6.73,581,694
6.77,580,695
6.80,578,696
6.83,578,696
6.87,576,697
6.90,576,697
6.93,575,698
6.97,574,699
7.00,572,699
7.03,571,700
7.07,571,700
7.10,570,700
7.13,569,701
7.17,568,701
7.20,566,702
7.23,566,702
7.27,565,703
7.30,564,703
7.33,563,704
7.37,561,704
7.40,561,704
7.43,560,705
7.47,559,705
7.50,558,706
7.53,555,707
7.57,555,707
7.60,554,708
7.63,552,708
7.67,551,709
7.70,549,710
7.73,549,710
7.77,549,708
7.80,548,709
7.83,548,709
7.87,547,710
7.90,547,710
7.93,545,711
7.97,543,712
8.00,542,713
8.03,540,715
8.07,540,715
8.10,537,718
8.13,536,719
8.17,535,720
8.20,533,721
8.23,533,721
8.27,534,719
8.30,532,720
8.33,531,721
8.37,531,721
8.40,529,723
8.43,528,724
8.47,527,725
8.50,526,725
8.53,526,725
8.57,525,726
8.60,523,727
8.63,522,729
8.67,521,730
8.70,521,730
8.73,520,732
8.77,519,733
8.80,518,735
8.83,518,736
8.87,517,736
8.90,517,736
8.93,516,737
8.97,516,737
9.00,516,737
9.03,516,737
9.07,515,738
9.10,515,738
9.13,514,739
9.17,513,740
9.20,514,740
9.23,513,740
9.27,511,742
9.30,510,742
9.33,510,743
9.37,510,743
9.40,508,743
9.43,508,744
9.47,507,745
9.50,506,745
9.53,506,745
9.57,504,746
9.60,502,748
9.63,500,749
9.67,500,749
9.70,501,749
9.73,498,750
9.77,498,750
9.80,496,751
9.83,495,751
9.87,495,751
9.90,494,751
9.93,494,751
9.97,493,752
