timeSec,x,y
0.00,681,631
0.03,680,633
0.07,681,633
0.10,679,637
0.13,678,639
0.17,679,642
0.20,677,646
0.23,677,646
0.27,679,647
0.30,679,651
0.33,678,651
0.37,680,654
0.40,680,654
0.43,678,654
0.47,680,657
0.50,678,656
0.53,678,657
0.57,679,657
0.60,677,656
0.63,678,656
0.67,676,656
0.70,676,656
0.73,676,656
0.77,676,655
0.80,676,655
0.83,674,655
0.87,674,656
0.90,674,656
0.93,672,656
0.97,671,656
1.00,669,656
1.03,668,657
1.07,668,657
1.10,667,657
1.13,665,658
1.17,665,658
1.20,664,658
1.23,664,658
1.27,663,659
1.30,662,658
1.33,661,659
1.37,660,659
1.40,660,659
1.43,659,660
1.47,658,660
1.50,657,660
1.53,656,660
1.57,656,660
1.60,655,660
1.63,653,661
1.67,652,661
1.70,651,661
1.73,651,661
1.77,650,662
1.80,649,662
1.83,648,662
1.87,648,663
1.90,648,662
1.93,647,663
1.97,646,663
2.00,646,663
2.03,645,664
2.07,645,664
2.10,644,664
2.13,642,665
2.17,642,665
2.20,641,666
2.23,641,666
2.27,640,667
2.30,640,666
2.33,639,667
2.37,638,667
2.40,638,667
2.43,637,668
2.47,636,669
2.50,635,669
2.53,634,670
2.57,634,670
2.60,634,670
2.63,633,670
2.67,633,670
2.70,632,670
2.73,632,670
2.77,631,670
2.80,631,671
2.83,630,671
2.87,630,671
2.90,630,671
2.93,629,672
2.97,629,672
3.00,629,672
3.03,628,672
3.07,628,672
3.10,628,672
3.13,627,672
3.17,626,673
3.20,626,672
3.23,626,672
3.27,625,673
3.30,624,673
3.33,623,673
3.37,622,674
3.40,622,674
3.43,622,674
3.47,620,674
3.50,620,674
3.53,619,674
3.57,619,674
3.60,618,675
3.63,619,674
3.67,618,674
3.70,617,674
3.73,617,674
3.77,617,675
3.80,616,675
3.83,616,675
3.87,615,675
3.90,615,675
3.93,614,675
3.97,613,675
4.00,613,674
4.03,612,674
4.07,612,674
4.10,611,674
4.13,610,674
4.17,609,675
4.20,610,674
4.23,609,674
4.27,609,674
4.30,613,673
4.33,612,673
4.37,612,673
4.40,612,673
4.43,611,674
4.47,610,674
4.50,609,674
4.53,609,675
4.57,609,675
4.60,608,675
4.63,608,675
4.67,607,676
4.70,606,676
4.73,606,676
4.77,607,676
4.80,606,676
4.83,606,677
4.87,606,677
4.90,606,677
4.93,606,677
4.97,607,678
5.00,606,679
5.03,606,679
5.07,606,679
5.10,606,680
5.13,606,679
5.17,606,678
5.20,606,678
5.23,606,678
5.27,606,678
5.30,606,678
5.33,606,678
5.37,605,679
5.40,605,679
5.43,605,679
5.47,602,679
5.50,605,680
5.53,602,680
5.57,602,680
5.60,601,680
5.63,600,681
5.67,600,681
5.70,599,681
5.73,599,681
5.77,599,681
5.80,598,682
5.83,598,682
5.87,598,682
5.90,598,682
5.93,597,683
5.97,596,684
6.00,596,684
6.03,595,685
6.07,595,685
6.10,594,686
6.13,593,686
6.17,593,686
6.20,591,687
6.23,591,687
6.27,590,688
6.30,589,688
6.33,588,689
6.37,587,689
6.40,587,689
6.43,587,690
6.47,586,690
6.50,586,691
6.53,585,692
6.57,585,692
6.60,584,692
6.63,584,693
6.67,583,693
6.70,582,694
6.73,582,693
6.77,581,694
6.80,580,695
6.83,580,695
6.87,578,696
6.90,578,696
6.93,577,697
6.97,575,697
7.00,574,698
7.03,573,699
7.07,573,699
7.10,572,699
7.13,571,699
7.17,570,700
7.20,568,701
7.23,568,701
7.27,567,701
7.30,566,702
7.33,565,703
7.37,563,703
7.40,563,703
7.43,562,703
7.47,561,704
7.50,559,704
7.53,557,706
7.57,557,706
7.60,556,707
7.63,554,707
7.67,552,708
7.70,551,709
7.73,551,709
7.77,551,707
7.80,550,707
7.83,550,708
7.87,549,708
7.90,549,708
7.93,548,709
7.97,546,711
8.00,545,711
8.03,544,712
8.07,544,712
8.10,539,717
8.13,538,718
8.17,537,718
8.20,537,716
8.23,537,717
8.27,536,717
8.30,535,718
8.33,533,720
8.37,533,720
8.40,531,721
8.43,530,722
8.47,529,724
8.50,528,724
8.53,528,724
8.57,526,724
8.60,525,726
8.63,524,727
8.67,523,728
8.70,523,728
8.73,522,730
8.77,521,731
8.80,520,733
8.83,520,734
8.87,520,734
8.90,519,734
8.93,518,735
8.97,518,735
9.00,518,735
9.03,518,735
9.07,517,736
9.10,516,737
9.13,516,738
9.17,515,738
9.20,515,738
9.23,515,739
9.27,513,739
9.30,513,740
9.33,511,743
9.37,511,743
9.40,510,743
9.43,509,743
9.47,509,742
9.50,508,745
9.53,508,745
9.57,507,744
9.60,505,745
9.63,505,745
9.67,503,747
9.70,503,747
9.73,501,749
9.77,500,749
9.80,498,750
9.83,498,750
9.87,498,750
9.90,497,750
9.93,496,750
9.97,495,751
