timeSec,x,y
0.00,679,632
0.03,679,634
0.07,679,634
0.10,677,638
0.13,676,641
0.17,677,643
0.20,676,647
0.23,676,647
0.27,677,648
0.30,677,652
0.33,677,652
0.37,678,655
0.40,678,655
0.43,677,656
0.47,678,658
0.50,676,657
0.53,677,658
0.57,677,658
0.60,675,658
0.63,676,658
0.67,675,657
0.70,675,657
0.73,675,657
0.77,674,657
0.80,674,657
0.83,673,657
0.87,672,657
0.90,672,657
0.93,671,657
0.97,669,657
1.00,668,658
1.03,666,659
1.07,666,659
1.10,665,658
1.13,664,659
1.17,664,659
1.20,663,659
1.23,663,659
1.27,661,660
1.30,661,660
1.33,660,660
1.37,659,660
1.40,659,660
1.43,658,661
1.47,657,661
1.50,656,661
1.53,655,662
1.57,655,662
1.60,654,662
1.63,652,662
1.67,651,662
1.70,650,663
1.73,650,663
1.77,649,663
1.80,647,664
1.83,647,663
1.87,646,664
1.90,646,664
1.93,646,664
1.97,645,664
2.00,645,664
2.03,644,665
2.07,644,665
2.10,643,666
2.13,644,666
2.17,644,666
2.20,642,666
2.23,642,666
2.27,641,667
2.30,640,668
2.33,639,668
2.37,638,668
2.40,638,668
2.43,636,669
2.47,636,670
2.50,634,671
2.53,633,671
2.57,633,671
2.60,632,671
2.63,632,671
2.67,632,671
2.70,630,672
2.73,630,672
2.77,630,672
2.80,629,672
2.83,629,672
2.87,629,673
2.90,629,673
2.93,628,673
2.97,628,673
3.00,627,673
3.03,627,673
3.07,627,673
3.10,627,673
3.13,626,674
3.17,625,674
3.20,625,673
3.23,625,673
3.27,625,674
3.30,624,674
3.33,623,674
3.37,622,675
3.40,622,675
3.43,621,675
3.47,620,675
3.50,619,675
3.53,619,675
3.57,619,675
3.60,618,675
3.63,618,675
3.67,618,675
3.70,618,675
3.73,618,675
3.77,617,675
3.80,616,676
3.83,616,676
3.87,615,676
3.90,615,676
3.93,614,676
3.97,613,676
4.00,613,675
4.03,612,674
4.07,612,674
4.10,611,674
4.13,610,674
4.17,609,675
4.20,609,675
4.23,609,675
4.27,609,674
4.30,609,674
4.33,611,674
4.37,611,674
4.40,611,674
4.43,610,674
4.47,610,674
4.50,610,674
4.53,609,675
4.57,608,675
4.60,607,676
4.63,607,676
4.67,606,676
4.70,606,677
4.73,606,677
4.77,606,677
4.80,606,677
4.83,606,677
4.87,606,677
4.90,606,677
4.93,606,678
4.97,606,678
5.00,606,679
5.03,606,680
5.07,606,680
5.10,605,680
5.13,605,680
5.17,605,679
5.20,605,679
5.23,605,679
5.27,605,679
5.30,602,679
5.33,603,679
5.37,602,679
5.40,602,679
5.43,602,679
5.47,602,679
5.50,602,680
5.53,601,680
5.57,601,680
5.60,601,681
5.63,600,681
5.67,599,682
5.70,599,682
5.73,599,682
5.77,598,682
5.80,598,683
5.83,598,683
5.87,597,683
5.90,597,683
5.93,596,684
5.97,595,685
6.00,595,685
6.03,594,686
6.07,594,686
6.10,593,687
6.13,593,687
6.17,592,687
6.20,590,688
6.23,590,688
6.27,589,689
6.30,588,689
6.33,588,690
6.37,587,690
6.40,587,690
6.43,586,690
6.47,586,690
6.50,586,691
6.53,585,691
6.57,585,691
6.60,584,692
6.63,583,693
6.67,583,694
6.70,581,694
6.73,581,694
6.77,580,695
6.80,579,696
6.83,578,696
6.87,577,697
6.90,577,697
6.93,575,698
6.97,574,698
7.00,573,699
7.03,572,699
7.07,572,699
7.10,571,700
7.13,569,701
7.17,568,701
7.20,566,702
7.23,566,702
7.27,565,703
7.30,564,703
7.33,563,704
7.37,562,704
7.40,562,704
7.43,560,704
7.47,559,705
7.50,558,705
7.53,556,707
7.57,556,707
7.60,554,707
7.63,552,708
7.67,551,709
7.70,549,710
7.73,549,710
7.77,549,708
7.80,549,709
7.83,548,709
7.87,547,710
7.90,547,710
7.93,546,711
7.97,544,712
8.00,543,713
8.03,541,714
8.07,541,714
8.10,537,718
8.13,536,719
8.17,535,720
8.20,534,721
8.23,534,721
8.27,534,719
8.30,533,720
8.33,532,721
8.37,532,721
8.40,530,722
8.43,528,724
8.47,527,725
8.50,527,725
8.53,527,725
8.57,525,726
8.60,524,727
8.63,523,729
8.67,522,730
8.70,522,730
8.73,521,731
8.77,520,733
8.80,519,735
8.83,518,736
8.87,518,736
8.90,517,735
8.93,516,736
8.97,517,736
9.00,516,736
9.03,516,737
9.07,516,737
9.10,515,738
9.13,515,739
9.17,514,739
9.20,514,739
9.23,513,740
9.27,512,741
9.30,511,742
9.33,510,742
9.37,510,742
9.40,509,743
9.43,508,743
9.47,507,744
9.50,507,745
9.53,507,745
9.57,504,746
9.60,503,747
9.63,502,748
9.67,502,748
9.70,502,748
9.73,500,749
9.77,499,749
9.80,497,750
9.83,496,751
9.87,496,751
9.90,495,750
9.93,494,751
9.97,493,751
