timeSec,x,y
0.00,678,633
0.03,677,635
0.07,678,635
0.10,676,639
0.13,675,642
0.17,676,644
0.20,674,649
0.23,674,649
0.27,676,649
0.30,676,653
0.33,675,653
0.37,677,657
0.40,677,656
0.43,675,657
0.47,677,659
0.50,675,658
0.53,676,659
0.57,676,659
0.60,674,659
0.63,675,659
0.67,673,658
0.70,674,658
0.73,674,658
0.77,673,658
0.80,673,658
0.83,672,658
0.87,671,658
0.90,671,658
0.93,669,658
0.97,668,659
1.00,666,659
1.03,665,660
1.07,665,660
1.10,664,660
1.13,663,660
1.17,662,660
1.20,661,661
1.23,661,661
1.27,660,661
1.30,659,661
1.33,658,661
1.37,657,662
1.40,657,662
1.43,656,662
1.47,655,662
1.50,655,663
1.53,653,663
1.57,653,663
1.60,652,663
1.63,651,663
1.67,650,664
1.70,649,664
1.73,649,664
1.77,647,665
1.80,646,665
1.83,646,665
1.87,645,665
1.90,645,665
1.93,644,665
1.97,644,666
2.00,644,666
2.03,644,666
2.07,644,666
2.10,643,667
2.13,642,667
2.17,642,667
2.20,641,668
2.23,641,668
2.27,640,668
2.30,639,669
2.33,638,669
2.37,637,670
2.40,637,670
2.43,636,670
2.47,635,671
2.50,634,671
2.53,633,672
2.57,633,672
2.60,632,672
2.63,631,672
2.67,631,672
2.70,630,673
2.73,630,673
2.77,629,673
2.80,628,673
2.83,628,673
2.87,628,674
2.90,628,674
2.93,627,674
2.97,627,674
3.00,627,674
3.03,626,674
3.07,626,674
3.10,626,675
3.13,625,675
3.17,624,675
3.20,624,674
3.23,624,674
3.27,624,674
3.30,623,675
3.33,622,675
3.37,622,675
3.40,622,675
3.43,621,675
3.47,619,676
3.50,618,676
3.53,618,676
3.57,618,676
3.60,617,676
3.63,617,676
3.67,617,675
3.70,617,676
3.73,617,676
3.77,617,676
3.80,616,676
3.83,615,676
3.87,615,676
3.90,615,676
3.93,614,676
3.97,613,676
4.00,612,675
4.03,611,675
4.07,611,675
4.10,610,675
4.13,609,675
4.17,609,675
4.20,609,675
4.23,609,675
4.27,609,675
4.30,608,675
4.33,610,675
4.37,610,674
4.40,610,674
4.43,609,675
4.47,609,675
4.50,608,675
4.53,607,676
4.57,607,676
4.60,607,676
4.63,607,676
4.67,606,676
4.70,605,677
4.73,605,677
4.77,605,677
4.80,605,677
4.83,605,678
4.87,605,678
4.90,605,678
4.93,605,678
4.97,605,679
5.00,605,680
5.03,605,681
5.07,605,681
5.10,604,681
5.13,604,681
5.17,601,680
5.20,601,680
5.23,601,680
5.27,601,680
5.30,601,680
5.33,601,680
5.37,601,680
5.40,601,680
5.43,601,681
5.47,600,681
5.50,600,681
5.53,600,681
5.57,600,681
5.60,599,682
5.63,598,683
5.67,598,683
5.70,598,683
5.73,598,683
5.77,597,683
5.80,596,684
5.83,596,684
5.87,596,684
5.90,596,684
5.93,595,685
5.97,594,685
6.00,593,686
6.03,592,687
6.07,592,687
6.10,592,688
6.13,591,688
6.17,591,688
6.20,589,689
6.23,589,689
6.27,588,690
6.30,587,690
6.33,586,690
6.37,586,691
6.40,586,691
6.43,585,691
6.47,585,691
6.50,584,692
6.53,584,692
6.57,584,692
6.60,583,693
6.63,582,693
6.67,581,694
6.70,580,695
6.73,580,695
6.77,579,696
6.80,577,697
6.83,577,697
6.87,575,698
6.90,575,698
6.93,574,698
6.97,573,699
7.00,571,700
7.03,570,700
7.07,570,700
7.10,569,701
7.13,568,701
7.17,567,701
7.20,565,702
7.23,565,702
7.27,564,703
7.30,563,704
7.33,562,704
7.37,560,705
7.40,560,705
7.43,559,705
7.47,558,706
7.50,557,706
7.53,555,707
7.57,555,707
7.60,553,708
7.63,551,708
7.67,550,709
7.70,548,710
7.73,548,710
7.77,548,709
7.80,547,710
7.83,547,710
7.87,545,711
7.90,545,711
7.93,544,712
7.97,542,713
8.00,541,714
8.03,537,718
8.07,537,718
8.10,536,719
8.13,534,720
8.17,534,720
8.20,532,722
8.23,532,722
8.27,532,720
8.30,531,721
8.33,530,722
8.37,530,722
8.40,528,724
8.43,526,725
8.47,525,726
8.50,525,726
8.53,525,726
8.57,523,727
8.60,522,728
8.63,520,730
8.67,520,731
8.70,520,731
8.73,519,733
8.77,517,735
8.80,517,736
8.83,516,737
8.87,516,737
8.90,515,737
8.93,514,738
8.97,514,738
9.00,514,738
9.03,514,738
9.07,514,739
9.10,513,740
9.13,512,740
9.17,512,741
9.20,512,741
9.23,511,742
9.27,510,743
9.30,509,743
9.33,508,744
9.37,508,744
9.40,507,745
9.43,506,745
9.47,505,746
9.50,505,746
9.53,505,746
9.57,502,748
9.60,500,750
9.63,499,750
9.67,498,750
9.70,499,750
9.73,497,751
9.77,496,752
9.80,494,753
9.83,494,753
9.87,494,753
9.90,493,752
9.93,492,753
9.97,492,753
